Select,Motivation_Statement,Motivation_Type,Description,Underlying_Need_Or_Desire,Strength_Or_Importance_Indication,Source_Document_Reference,Evidence_Snippets,Keywords
true,To fill the gap in my skincare routine caused by neglecting my skin lately.,Emotional,"The user wants to address feelings of neglect and regain a sense of self-care by using a nourishing cream, motivated by a desire to improve their skin's appearance and well-being.","Self-care, confidence, skin improvement",Minor consideration,User comment about neglecting skin,"[""I've been neglecting my skin lately, I need to get this cream and fill the gap.""]","['self-care', 'neglect', 'skin', 'confidence', 'wellness']"
true,To avoid potential health risks from chemical ingredients in sunscreens.,Functional,"The user is concerned about systemic absorption and hormone disruption caused by chemical sunscreen ingredients, seeking safer sun protection options to protect long-term health.","Health safety, hormone balance, prevention",Critical driver,Sun safety research excerpt,"['discovered the potential risks hiding in my daily sunscreen routine', 'all 6 exceeded the FDA’s safety threshold of 0.5 ng/mL in the bloodstream', '13 out of 29 UV filters disrupted sperm cell function']","['sunscreen', 'health', 'safety', 'hormone disruption', 'mineral filters']"
true,"To find safer, natural alternatives for nail polish that avoid endocrine disruptors.",Functional,"The user wants to avoid toxic chemicals like formaldehyde, toluene, and phthalates found in conventional nail polishes by choosing non-toxic, natural options that are healthier and less harmful.","Health, safety, beauty",Major driver,Nail polish safety comment,"['most nail polishes are loaded with endocrine disruptors', 'found a few that are ACTUALLY non-toxic and long-lasting', 'you shouldn’t have to sacrifice health for cute nails']","['nail polish', 'non-toxic', 'health', 'beauty', 'safety']"
true,To protect my skin from harmful UV filters while enjoying outdoor activities safely.,Functional,"The user seeks sun protection options that mitigate risks associated with chemical UV filters, favoring mineral-based sunscreens and sun-smart habits to ensure safety during outdoor exposure.","Health, safety, skin protection",Major driver,Sun protection advice,"['Safer mineral filters like zinc oxide and titanium dioxide offer protection with minimal absorption', 'balancing sun safety with long-term health is not simple, but it matters']","['sun protection', 'mineral filters', 'health', 'safety', 'outdoor']"
true,"To learn how to identify and choose natural, non-synthetic fragrances that are safe and allergen-free.",Functional,"The user wants to avoid synthetic fragrances, which may contain hormone disruptors and allergens, by understanding ingredient labels and selecting products based on natural essential oils for health and safety reasons.","Health, safety, authenticity",Major driver,Perfume ingredient analysis,"['go to the ingredients and look', 'all these perfumes? You see all these perfumes? I have been going through them. One by one looking at their ingredients list', 'natural does not always mean gentle']","['fragrance', 'natural', 'ingredients', 'allergen', 'safe']"
true,"To support my teen's mental health and wellness with safe, natural aromatherapy options.",Functional,"The user aims to provide their teen with natural, chemical-free aromatherapy that supports emotional well-being without exposing them to harmful synthetic chemicals.","Safety, mental health, wellness",Major driver,Teen aromatherapy post,"['aromatherapy for the gen that needs it most - pocket-sized wellness that supports their energy', 'small scented moments that recalibrate everything']","['aromatherapy', 'teen wellness', 'natural', 'mental health', 'safety']"
true,"To use effective, safe skincare products that visibly improve my skin's appearance and boost confidence.",Functional,"The user seeks skincare that delivers visible results such as brightening and hydration, driven by a desire to look and feel better about their skin.","Beauty, confidence, efficacy",Major driver,Brightening eye cream review,"['visibly brightens & improves the appearance of dark circles', 'Your skin is glowing', 'se ve increíble ese producto']","['skincare', 'brightening', 'confidence', 'efficacy', 'beauty']"
true,To reduce my risk of breast cancer by using safer sun protection,Emotional,"The user is motivated by a desire to protect their health and prevent serious illness, specifically breast cancer, through the use of mineral sunscreens and sun safety practices.",Safety and health security,Critical,Social media post promoting mineral sunscreens and sun safety tips,"['Safer sun protection = one more step in reducing your breast cancer risk.', 'Check out our #SunscreenGuide for more sun protection tips!']","['sun safety', 'health protection', 'breast cancer risk', 'mineral sunscreen', 'preventive health']"
true,To hold onto the pleasant memories and sensations of summer by winning a seasonal scent,Emotional,"The user seeks to preserve the joyful and nostalgic feelings associated with summer by acquiring favorite scents, indicating a desire for emotional comfort and connection to positive seasons.",Enjoyment and emotional comfort,Minor consideration,Instagram giveaway post offering summer scents,['We are giving away two of our Summer scents of your choice so that you can hold onto the sweet smells of the best season of the year for a little longer!'],"['seasonal nostalgia', 'summer scent', 'emotional comfort', 'celebration', 'nostalgia']"
true,To discover new skincare products and stay updated on the latest launches,Emotional,"The user is driven by curiosity and a desire for self-improvement, seeking to explore new products that can enhance their skincare routine and achieve better skin health.","Knowledge, self-care, and aesthetic improvement",Minor consideration,Instagram post showcasing new skincare launches,"['It’s time to show your  the newest launches of  brand-new series featuring the latest and greatest in skincare.', 'What do you think? Any of these catch your eye? What’s on your wishlist?']","['skincare discovery', 'new launches', 'beauty curiosity', 'self-care', 'product wishlist']"
true,"To achieve a healthier, more radiant, and youthful appearance through professional skincare treatments",Functional,"The user seeks tangible improvements in skin health and appearance by undergoing specialized treatments like collagen infusions, aiming for a youthful glow and increased confidence.",Aesthetic enhancement and self-confidence,Strong driver,Instagram post about collagen infusion facial,"['Here’s what finally worked for my dull, tired skin 😌', 'The glow? Immediate 💧💫 Think firmer skin, intense hydration, and a youthful bounce...']","['skincare treatment', 'anti-aging', 'glow', 'hydration', 'skin improvement']"
true,"To improve and maintain healthy, glowing skin by following a consistent skincare routine",Functional,"The user is motivated by a desire for effective skincare that provides visible results, emphasizing routine layering and holistic care to support skin health from within.","Health, efficacy, and natural beauty",Strong driver,Instagram post about Korean skincare layering,"['Layering by viscosity (thinnest to thickest) to maximize absorption.', 'Less inflammation, more glow. Less guesswork, more results.']","['skincare routine', 'layering', 'glowing skin', 'skin health', 'holistic']"
true,"To treat and improve tired, dull skin through professional facial treatments",Functional,"The user seeks to revitalize their skin's appearance and texture by undergoing professional facials that provide deep hydration, cleansing, and rejuvenation.",Skin revitalization and confidence,Strong driver,Instagram post about facial treatment experience,"['It’s not just a facial — it’s a full reset.', 'My skin looked fresh, bouncy, and truly revitalized.']","['facial treatment', 'skin reset', 'hydration', 'revitalization', 'skincare']"
true,To use targeted skincare products that prevent signs of aging and maintain youthful skin,Functional,"The user is motivated by the desire to combat aging signs such as fine lines and dark circles, seeking advanced ingredients and consistent use of effective serums and eye creams.","Youthfulness, anti-aging, and skin health",Strong driver,Instagram post reviewing eye serum with anti-aging benefits,"['It visibly reduces puffiness, dark circles, and fine lines.', 'Powerful ingredients like NAD and plant-based brighteners...']","['anti-aging', 'eye serum', 'youthful skin', 'skin health', 'preventive care']"
true,To experience excitement and joy from visual and aesthetic appreciation.,Emotional,"Users express admiration and enthusiasm for beautiful visuals, products, and fashion, driven by a desire for pleasure, inspiration, and positive feelings.",Enjoyment and emotional upliftment,Strong driver,ood 😍 | This sounds incredible | 🔥🙌❤️ | I neeeedd this golden box 😍 | Lovee the productss😍😍 | Just 'wow' for this😍 | 👏👏 | 😍😍😍 | This is so amazing | ❤💙 | 💝💝💝 | البكجنغ روعة 👏 | شكلهم بجننو رح اجربهم كلهم ❤️🔥 | Love them alll 😍😍😍😍😍 | 😍😍😍😍🔥 | Can't waittt the reels 😍😍 | مستنيه اللوك❤️❤️ | بحبك❤️❤️❤️❤️ | هسرق الروج ❤️❤️❤️❤️❤️❤️ | تحفهه❤️❤️❤️❤️❤️ | حلوين اوي اوي مستنين بقي اللوك,"['This sounds incredible', 'I neeeedd this golden box', 'Lovee the productss']","['aesthetic', 'visual appeal', 'excitement', 'beauty', 'enthusiasm']"
true,To discover and learn about new skincare products that offer effective UV protection without stickiness.,Functional,"Users are motivated by the desire to find skincare that is quick-absorbing, non-sticky, and provides reliable UV protection, rooted in the need for effective and convenient sun care.",Efficiency and skin health,Moderate to strong,"오늘 출시된 당근 라인 신제품, 이번엔 뭔가 다릅니다🥕","['슥슥-바르면 피부에 빠르게 흡수되어 끈적임 없이 보송하게 자외선 차단을 돕는대요', '새로운 신제품 이름을 맞춰보세요!', 'UV protection with a soft, non-sticky finish']","['skincare', 'UV protection', 'non-sticky', 'convenience', 'product discovery']"
true,"To celebrate and indulge in a cozy, relaxing night with good books and wellness essentials.",Emotional,"Users seek comfort, relaxation, and a sense of self-care through engaging in cozy activities, driven by the desire for emotional well-being and leisure.",Relaxation and belonging,Important,GIVEAWAY! 📚 Calling all book lovers!✨ ... treat ONE lucky winner to all the essentials for a cozy night in with your favorite books!,"['Treat ONE lucky winner to all the essentials for a cozy night in', 'Snuggle up with a good book & get super cozy', 'Gives a sense of comfort and leisure']","['cozy', 'relaxation', 'self-care', 'leisure', 'wellness']"
true,To preserve and showcase timeless fashion and skincare items that demonstrate durability and lasting quality.,Emotional,"Users are motivated by nostalgia and appreciation for quality and longevity, valuing products that stand the test of time and reflect personal investment.",Security and value,Critical,"My mom, Joanne, is wearing 40-year-old Chanel to our Restorsea Live—and yes, it still looks brand new...","['proof that great fashion (and great skincare) are always worth the investment', 'timeless style', 'products that last for decades']","['timeless', 'durability', 'investment', 'quality', 'legacy']"
true,"To understand and utilize the benefits of fresh, antioxidant-rich skincare products for anti-aging and skin health.",Functional,"Users are motivated by the desire to maintain youthful, healthy skin through high-quality, antioxidant-packed products that prevent aging and skin irritation.",Skin health and anti-aging,Very strong,F R E S H . m a t t e r s | ... Antioxidantien sind der echte Anti-Aging-Hack!,"[""Frische RINGANA's oberstes Gebot"", 'hochwirksame „High-end-ingredients""', 'länger frisch bleiben, dass unsere Haut nicht so schnell schromtlich wird und alt hat']","['anti-aging', 'antioxidants', 'skin protection', 'freshness', 'health']"
true,"To appreciate and invest in luxury, vintage fashion that signifies elegance, durability, and timeless style.",Social,"Users are driven by the desire to showcase their sophisticated taste and status through classic, high-quality fashion pieces that have enduring appeal.",Self-expression and social recognition,Important,"My mom, Joanne, is wearing 40-year-old Chanel to our Restorsea Live—and yes, it still looks brand new...","['great fashion (and great skincare) are always worth the investment', 'timeless style', 'Luxury That Lasts']","['luxury', 'vintage', 'timeless', 'status', 'prestige']"
true,"To achieve a clean, nourished, and comfortable skin feel without irritation.",Functional,"The user seeks a gentle cleanser that cleanses effectively but does not strip or sting, especially given sensitive or compromised skin conditions, driven by the need for skin comfort and health.","Skin comfort, safety, and nourishment.",Critical for sensitive skin users,3691814012301043606,"['a gentle but effective cleanse that doesn’t strip or sting', 'leaves my skin soft, calm, and hydrated — not tight or squeaky', 'perfect for dry, sensitive, or compromised skin']","['gentle', 'hydration', 'sensitive skin', 'nourishing', 'non-stripping']"
true,"To enjoy a multi-functional product that provides SPF, hydration, and a natural glow in one step.",Functional,"The user wants a convenient, all-in-one product that simplifies skincare routines by combining sun protection, hydration, and cosmetic enhancement, driven by the desire for efficiency and ease.","Convenience, efficiency, and skin health.",High importance for busy or minimalists,3690400040703430393,"['Wenn du einfach alles in einem bekommst', 'SPF 30, Pflege + Farbe', 'Ein Produkt. Ein Glow. Ein Gamechanger.']","['SPF', 'multifunctional', 'hydration', 'glow', 'convenience']"
true,To avoid exposure to harmful toxins and chemicals commonly found in conventional hair care products.,Functional,"The user is motivated by health concerns, aiming to choose hair care products free from toxic ingredients like sulfates, parabens, and synthetic fragrances that can disrupt hormones or cause irritation.","Health, safety, and non-toxicity",Major concern for health-conscious consumers,3679029841030570543,"['Most conventional shampoos and conditioners are loaded with fragrance (aka chemical soup), sulfates, parabens, and preservatives linked to hormone disruption', 'Flip that bottle over. If you can’t pronounce half of it… you probably shouldn’t be using it.']","['toxins', 'clean beauty', 'hair health', 'chemical-free', 'safe ingredients']"
true,"To create and use natural, hormone-safe skincare products that avoid synthetic chemicals and preservatives.",Functional,"Driven by health issues like PCOS and awareness of hormone disruptors, the user wants to formulate or use skincare that is free from synthetics, promoting hormonal balance and overall wellness.","Health, hormonal balance, natural ingredients",Very important for those with hormonal concerns,3688914750322075489,"['wanted to make a version that would be hormone-safe', 'because a lot of sore-bott body butter contains synthetic fragrance that use a hormone-disrupting chemical', 'made this batch of DIY body butter a totally natural citrus vanilla scent']","['hormone-safe', 'natural', 'DIY', 'chemical-free', 'health']"
true,"To nourish and deeply hydrate skin with simple, natural ingredients that support skin health and healing.",Functional,"The user aims for a product with minimal, natural ingredients like grass-fed tallow and honey to provide deep nourishment, hydration, and support for skin repair and anti-aging benefits.","Skin nourishment, health, and anti-aging","High, especially for those seeking natural skincare",3689822471848267625,"['made with just five nourishing ingredients like grass-fed tallow and Manuka honey', 'deep nourishment to my skin', 'obsessed with this texture']","['nourishing', 'hydration', 'natural ingredients', 'anti-aging', 'skin repair']"
true,To feel confident and radiant during pregnancy,Emotional,"The user seeks a safe and effective skincare routine that enhances her natural glow, helping her feel beautiful and confident while pregnant.","Desire for self-esteem, safety, and natural beauty",Critical for emotional well-being,3681719983377031220,"[""I love knowing that what I'm using from @truebotanicals is safe for both me and baby"", 'helps me achieve that no makeup summer glow', 'you’re glowing mama 🔥']","['pregnancy', 'glow', 'safe skincare', 'confidence', 'self-care']"
true,"To maintain healthy, nourished skin with minimal effort",Functional,"The user desires simple, effective products that keep her skin protected and glowing without a complicated routine, especially during busy or exhausting times.","Efficiency, convenience, skin health",Important for daily routine management,3681719983377031220,"['help me achieve that no makeup summer glow', 'routine needs to be quick', 'keeps my skin protected']","['effortless', 'skincare', 'protection', 'simplicity', 'glow']"
true,"To find safe, natural, and effective hair and skin products",Functional,"The user is driven by the need for products that are safe for chemically treated skin and hair, free from harsh chemicals, and deliver real results like dandruff relief and skin nourishment.","Safety, health, effectiveness",Strong driver for product choice,3691870635602652395,"['It’s safe for chemically treated & colored hair', 'no harsh chemicals, no synthetic fragrances, no nonsense', 'my psoriasis is out of control right now and my head is so itchy!']","['natural', 'safe', 'effective', 'harsh chemicals free', 'health']"
true,"To experience the pleasure and comfort of nourishing, high-quality skincare",Emotional,"The user seeks sensory pleasure from textures and scents, such as honey and butter, which evoke feelings of indulgence, healing, and satisfaction.","Enjoyment, relaxation, indulgence",Major emotional driver,3675135210489819836,"['smells like honey drizzled on warm buttery goodness', 'wonder fat balm is pure, weightless luxury in a jar', 'melts right into my skin, leaving my skin feeling soft, radiant, and deeply nourished']","['sensory pleasure', 'scents', 'texture', 'indulgence', 'luxury']"
