Category,Category Description,Theme,Subtheme Description,Motivation,Motivation Description,Consumer Statement,Evidence Snippets
Personal Values and Identity,"Motivations driven by core personal beliefs, morals, and identity-related factors.",Authenticity and Self-Expression,Motivations related to expressing true self and staying authentic.,Staying true to self,Motivated by the desire to remain authentic and true to one's identity.,They want to stay true to themselves in their actions.,They want to stay true to themselves in their actions.|Being authentic is important to them.
Personal Values and Identity,"Motivations driven by core personal beliefs, morals, and identity-related factors.",Identity and Self-Perception,Motivations related to how individuals see themselves and want to be perceived.,Enhancing self-esteem,Motivated by the desire to feel better about oneself.,They seek activities that boost their self-esteem.,They seek activities that boost their self-esteem.|Feeling more confident and valued.
Personal Fulfillment and Self-Expression,"Motivations driven by the desire for personal growth, self-expression, and achieving individual identity.",Self-Actualization,Motivations aimed at realizing personal potential and self-improvement.,Achievement Drive,A desire to accomplish goals and demonstrate competence.,The individual seeks to accomplish personal goals and demonstrate their abilities.,They want to succeed and prove their competence|They aim to reach their full potential|Striving for personal achievement motivates them|They are driven by a desire to accomplish goals
Personal Fulfillment and Self-Expression,"Motivations driven by the desire for personal growth, self-expression, and achieving individual identity.",Creative Self-Expression,Motivations related to expressing oneself through creative or artistic outlets.,Artistic Expression,Desire to communicate feelings and ideas through art or creativity.,They aim to express their emotions and ideas through creative activities.,Using art to convey feelings is important|They want to showcase their creativity|Expressing emotions through art motivates them|They seek outlets for their artistic talents
Achievement and Success,"Motivations centered around attaining success, recognition, and reaching personal or external benchmarks.",Goal-Oriented Motivation,Motivations driven by setting and achieving specific objectives.,Performance Achievement,Desire to excel in tasks and meet high standards.,They aim to perform well and meet their goals.,Achieving high performance motivates them|They strive to meet or surpass standards|Success in tasks is a key driver|They are motivated by tangible results
Relationship and Social Connection,"Motivations related to forming, maintaining, and enhancing social bonds and relationships.",Love and Affection,Motivations driven by the desire to give and receive love and care.,Romantic Connection,Seeking romantic relationships and intimacy.,They desire to find and maintain romantic partnerships.,Seeking love is a primary goal|They want romantic intimacy|Building romantic bonds motivates them|They pursue relationships for emotional closeness
Security and Stability,"Motivations focused on ensuring safety, stability, and predictability in life.",Financial Security,"Motivations related to earning, saving, and managing money for stability.",Wealth Accumulation,Desire to build financial resources and assets.,They aim to increase their financial wealth.,Saving money motivates them|They want to build wealth|Accumulating assets is a priority|Financial growth drives their actions
Health and Well-being,Motivations centered around maintaining physical and mental health.,Physical Health,"Motivations related to fitness, nutrition, and medical care.",Fitness and Exercise,Desire to stay physically active and fit.,They are motivated to engage in physical activities to stay healthy.,Regular exercise motivates them|Staying fit is a priority|Physical activity enhances their health|They seek to maintain fitness levels
Health and Well-being,Motivations centered around maintaining physical and mental health.,Mental and Emotional Well-being,"Motivations related to emotional health, stress reduction, and psychological resilience.",Stress Relief,Desire to reduce stress through activities or practices.,They seek ways to alleviate stress and relax.,Engaging in relaxing activities motivates them|They want to reduce stress levels|Practicing mindfulness helps them|Relaxation techniques are important
Personal Fulfillment and Self-Improvement,"Motivations driven by the desire to improve oneself, achieve personal goals, or realize individual potential.",Achievement and Success,"Motivations centered around accomplishing goals, gaining recognition, or reaching milestones.",Career Advancement,Motivated by the desire to progress professionally and gain recognition in one's field.,The individual aims to climb the professional ladder and gain recognition for their work.,They want to get promoted at work|Seeking recognition for their achievements|Motivated to excel in their career
Personal Fulfillment and Self-Improvement,"Motivations driven by the desire to improve oneself, achieve personal goals, or realize individual potential.",Self-Development and Growth,"Motivations related to personal growth, learning new things, and self-improvement.",Learning and Education,Motivated by the desire to acquire new knowledge or skills.,They seek to learn new skills and expand their knowledge base.,They want to learn new skills|Seeking educational opportunities|Motivated to expand their knowledge
Social Connection and Recognition,"Motivations driven by the desire for social belonging, recognition, or positive interactions with others.",Seeking Approval and Validation,"Motivations centered around gaining approval, validation, or positive feedback from others.",Social Approval,Motivated by the need for approval from peers and social circles.,They seek approval from friends and colleagues.,They want others to approve of their actions|Seeking validation from peers|Motivated by social acceptance
Social Connection and Recognition,"Motivations driven by the desire for social belonging, recognition, or positive interactions with others.",Altruism and Helping Others,"Motivations driven by the desire to assist, support, or improve the well-being of others.",Helping Others,Motivated by the desire to support and assist others in need.,They aim to support and help others in their community.,They want to support those in need|Motivated to help friends and family|Seeking to contribute positively to others' lives
Material and Hedonic Rewards,"Motivations driven by the pursuit of tangible rewards, pleasure, or sensory experiences.",Financial and Material Gains,Motivations focused on acquiring tangible assets or monetary benefits.,Financial Wealth,Motivated by the desire to increase wealth and financial assets.,They aim to accumulate wealth and financial resources.,Their goal is to increase their wealth|Motivated to save and invest|Seeking financial security
Material and Hedonic Rewards,"Motivations driven by the pursuit of tangible rewards, pleasure, or sensory experiences.",Pleasure and Sensory Enjoyment,"Motivations centered on experiencing pleasure, enjoyment, or sensory stimulation.",Entertainment and Leisure,"Motivated by the desire for entertainment, fun, and leisure activities.",They seek entertainment and leisure experiences.,They want to enjoy entertainment|Motivated by leisure activities|Seeking fun and enjoyment
Health and Well-Being,Motivations focused on maintaining or improving physical and mental health.,Physical Health Maintenance,Motivated by the desire to keep the body healthy and prevent illness.,Exercise and Fitness,Driven by the desire to stay fit and physically active.,They aim to stay fit by engaging in regular exercise.,They want to exercise regularly|Motivated to stay physically fit|Seeking to improve fitness levels
Health and Well-Being,Motivations focused on maintaining or improving physical and mental health.,Mental and Emotional Well-Being,"Motivations related to maintaining mental health, happiness, and emotional stability.",Stress Reduction,Driven by the desire to reduce stress and anxiety.,They aim to decrease stress and mental strain.,They want to reduce stress levels|Motivated for relaxation|Seeking mental calmness
Personal Achievement and Self-Improvement,"Motivations driven by the desire to enhance personal skills, knowledge, or accomplishments to achieve a sense of mastery and progress.",Skill Development,Motivations focused on acquiring new skills or improving existing ones to gain personal competence.,Learn New Skills,Motivated to learn new skills to improve personal effectiveness.,An individual wants to acquire new skills to enhance their capabilities.,They are eager to learn new skills to become more competent | Desire to improve skills for career growth | Looks for opportunities to develop expertise | Aims to master new techniques in their field
Personal Achievement and Self-Improvement,"Motivations driven by the desire to enhance personal skills, knowledge, or accomplishments to achieve a sense of mastery and progress.",Personal Progress and Achievement,"Motivations driven by the desire to accomplish goals, gain recognition, or reach milestones.",Achieve Goals,Motivated by the desire to reach personal or professional goals.,They are driven to accomplish their set goals.,They aim to meet their personal goals | Focused on reaching professional milestones | Motivated to complete projects successfully | Strive to achieve set objectives
Social Connection and Recognition,"Motivations rooted in forming bonds, gaining approval, or being recognized by others to satisfy social needs.",Approval and Acceptance,"Motivations driven by the desire to gain approval, acceptance, or positive judgment from others.",Seek Approval,Motivated to gain approval from others to feel validated.,They seek approval to feel validated.,They desire validation from peers | Want approval from authority figures | Seek positive feedback | Aim to be accepted by their community
Social Connection and Recognition,"Motivations rooted in forming bonds, gaining approval, or being recognized by others to satisfy social needs.",Social Recognition and Status,"Motivations driven by the desire to attain status, fame, or recognition within social hierarchies.",Enhance Social Status,Motivated to improve social standing or reputation.,They aim to elevate their social status.,They seek to improve their social reputation | Desire to be seen as influential | Aim for higher social standing | Pursue recognition that boosts their image
Financial and Material Gains,"Motivations centered on acquiring money, possessions, or material benefits to improve quality of life or achieve security.",Money and Wealth Accumulation,Motivations focused on increasing financial resources and wealth.,Increase Income,Motivated to earn more money to improve financial stability.,They seek to boost their income for stability.,They aim to increase their earnings | Want higher salaries | Seek additional sources of income | Pursue financial stability
Financial and Material Gains,"Motivations centered on acquiring money, possessions, or material benefits to improve quality of life or achieve security.",Material Possessions,Motivations driven by acquiring tangible possessions and material comforts.,Own Luxury Items,Motivated to acquire luxury items for status or comfort.,They desire to own luxury items to enhance their status.,They seek luxury goods to signal success | Want premium brands | Aim to own high-end products | Pursue luxury for status and comfort
Health and Well-being,Motivations driven by the desire to maintain or improve physical and mental health.,Physical Health,Motivated to improve or maintain physical health and fitness.,Maintain Physical Fitness,Motivated to stay physically fit and active.,They aim to stay physically fit and active.,They focus on regular exercise | Want to stay in shape | Pursue fitness routines | Aim to improve strength and stamina
Health and Well-being,Motivations driven by the desire to maintain or improve physical and mental health.,Mental and Emotional Well-being,"Motivations centered on maintaining mental health, reducing stress, and achieving emotional balance.",Reduce Stress,Motivated to lower stress levels for better mental health.,They seek to reduce stress for mental well-being.,They practice stress management techniques | Look for relaxation methods | Aim to lower anxiety | Seek mental calmness
Personal Achievement and Growth,"Motivations driven by the desire for self-improvement, mastery, and reaching personal goals.",Skill Development,Motivations centered on acquiring new skills or improving existing ones.,Learning new skills,Desire to acquire or enhance specific abilities.,The individual wants to learn new skills to improve their capabilities.,They are motivated by the desire to learn new skills and expand their abilities.|Seeking to develop new competencies to better themselves.
Personal Achievement and Growth,"Motivations driven by the desire for self-improvement, mastery, and reaching personal goals.",Self-Improvement Aspirations,"Motivations driven by the desire to better oneself mentally, physically, or emotionally.",Mental health improvement,Motivations focused on enhancing mental well-being.,They seek to improve their mental health and emotional resilience.,Motivated by the desire to feel mentally stronger and more balanced.|Seeking ways to improve emotional well-being.
Social Connection and Recognition,"Motivations driven by the desire for social interaction, belonging, and external validation.",Relationship Building,Motivations focused on forming and maintaining personal connections.,Seeking companionship,Desire to find and maintain companionship and social bonds.,They want to find companionship and build meaningful relationships.,Motivated by the need for companionship and social bonds.|Seeking to connect with others on a deeper level.
Social Connection and Recognition,"Motivations driven by the desire for social interaction, belonging, and external validation.",Recognition and Validation,"Motivations centered on gaining acknowledgment, praise, or status from others.",Seeking praise,Desire for praise and recognition from others.,They seek praise to feel valued and appreciated.,Motivated by the need for praise and acknowledgment.|Seeking validation through recognition.
Practical and Material Benefits,"Motivations driven by tangible rewards, resources, or practical advantages.",Financial Gain,"Motivations focused on earning, saving, or acquiring money or material resources.",Earning money,Desire to generate income through work or investment.,They aim to earn money to support their lifestyle.,Motivated by the need to earn income and improve financial stability.|Seeking financial rewards from their efforts.
Practical and Material Benefits,"Motivations driven by tangible rewards, resources, or practical advantages.",Resource Security,Motivations focused on ensuring access to essential resources and safety.,Ensuring basic needs,"Motivations to secure food, shelter, and safety.",They aim to secure basic needs like food and shelter.,Motivated by the need to fulfill basic needs for survival.|Seeking safety and stability in life.
Personal Fulfillment and Self-Improvement,"Motivations driven by the desire to enhance oneself, acquire new skills, or achieve personal growth.",Skill Development,Motivations focused on gaining new abilities or improving existing ones.,Learning New Skills,The desire to acquire new abilities or knowledge.,He wants to learn new skills to improve his career prospects.,He is motivated by the desire to learn new skills that can enhance his career | Seeking personal growth through skill acquisition
Personal Fulfillment and Self-Improvement,"Motivations driven by the desire to enhance oneself, acquire new skills, or achieve personal growth.",Personal Well-being,Motivations centered on maintaining or improving mental and physical health.,Health Maintenance,The desire to stay healthy or improve health conditions.,He wants to stay healthy and avoid illness.,Motivated by the desire to maintain good health | Aims to prevent illness and stay fit
Social Connection and Relationships,"Motivations related to forming, maintaining, or enhancing social bonds and relationships.",Family and Close Relationships,Motivations centered on strengthening bonds with family and close friends.,Family Well-being,The desire to ensure the happiness and health of family members.,He wants to ensure his family’s well-being and happiness.,Motivated by the desire to keep his family happy and healthy | Prioritizes family well-being
Social Connection and Relationships,"Motivations related to forming, maintaining, or enhancing social bonds and relationships.",Community and Social Engagement,Motivations aimed at participating in community activities or social groups.,Community Involvement,The desire to participate actively in community events and initiatives.,He wants to be actively involved in his community.,Motivated to participate in community activities | Seeks to contribute to local initiatives
Achievement and Success,"Motivations driven by the desire for accomplishment, recognition, and reaching high standards.",Recognition and Status,Motivations focused on gaining acknowledgment and social standing.,Desire for Recognition,The wish to be acknowledged for accomplishments.,He wants his efforts to be recognized by others.,Motivated by the desire to be recognized | Seeks acknowledgment for achievements
Achievement and Success,"Motivations driven by the desire for accomplishment, recognition, and reaching high standards.",Personal Achievement,Motivations centered on accomplishing individual goals and milestones.,Reaching Personal Milestones,The drive to achieve personal objectives.,He is motivated to reach personal milestones for a sense of achievement.,Motivated by the desire to reach personal milestones | Seeks personal achievement
Financial and Material Goals,"Motivations driven by the desire to acquire, manage, or increase financial resources and material possessions.",Wealth Accumulation,Motivations focused on increasing financial assets and savings.,Saving Money,The desire to save money for future security.,He wants to save money for future needs.,Motivated by the desire to save money for future security | Focused on accumulating savings
Financial and Material Goals,"Motivations driven by the desire to acquire, manage, or increase financial resources and material possessions.",Material Possessions,Motivations centered on acquiring tangible goods and possessions.,Purchasing Luxury Items,The desire to buy high-end or luxury goods.,He is motivated to purchase luxury cars and gadgets.,Motivated by the desire to buy luxury items | Seeks high-end possessions
Exploration and Novelty,"Motivations driven by curiosity, adventure, or the desire for new experiences and discoveries.",Travel and Adventure,Motivations centered on exploring new places and engaging in adventurous activities.,Traveling,The desire to visit new locations and experience different cultures.,He is motivated to travel to new countries.,Motivated by the desire to explore new places | Seeks international travel experiences
Exploration and Novelty,"Motivations driven by curiosity, adventure, or the desire for new experiences and discoveries.",Innovation and Creativity,"Motivations focused on creating, inventing, or exploring new ideas and concepts.",Creating Art or Music,The desire to produce artistic or musical works.,He is motivated to create new art pieces and compositions.,Motivated to create art and music | Expresses creativity through creation
Personal Fulfillment and Self-Improvement,"Motivations driven by the desire to enhance oneself, achieve personal growth, or attain a sense of accomplishment.",Achievement and Mastery,"Motivations focused on attaining goals, mastering skills, or achieving recognition.",Desire for Recognition,Seeking acknowledgment or praise from others for accomplishments.,The individual seeks recognition for their achievements and desires acknowledgment from peers.,They want to be recognized for their hard work and be praised by others.|Recognition motivates their efforts.
Personal Fulfillment and Self-Improvement,"Motivations driven by the desire to enhance oneself, achieve personal growth, or attain a sense of accomplishment.",Self-Enhancement and Personal Growth,"Motivations centered on improving oneself, gaining confidence, or achieving personal excellence.",Self-Improvement,"Aiming to better oneself through education, habits, or behavior change.",They are motivated to improve themselves and develop better habits.,Self-improvement efforts lead to increased confidence.|They are driven by a desire to become better.
Social Connection and Belonging,"Motivations driven by the desire for social bonds, acceptance, and community integration.",Acceptance and Inclusion,"Seeking acceptance, inclusion, and positive social relationships.",Desire for Acceptance,Wanting to be accepted and valued by others.,They seek acceptance and want to be valued by their social group.,Acceptance from peers boosts their confidence.|They desire to feel included and accepted.
Social Connection and Belonging,"Motivations driven by the desire for social bonds, acceptance, and community integration.",Relationship Building,Motivations aimed at forming and maintaining personal relationships.,Building Friendships,Motivated to create and nurture friendships.,They are motivated to form and maintain friendships.,Creating friendships provides emotional support.|They seek to nurture lasting bonds.
Practical and Material Needs,"Motivations related to fulfilling tangible needs, acquiring resources, and ensuring security.",Material Acquisition,Motivated by the desire to obtain material goods or resources.,Desire for Wealth,Seeking financial gain and material abundance.,They are motivated by the desire to increase their wealth.,Accumulating wealth provides security and comfort.|They aim for financial prosperity.
Personal Development and Achievement,"Motivations driven by the desire to improve oneself, achieve goals, and attain a sense of mastery.",Goal-Oriented Motivation,"Motivations focused on setting, pursuing, and accomplishing specific personal objectives.",Achieve personal goals,Desire to accomplish specific personal milestones and objectives.,The individual wants to reach personal milestones and achieve their goals.,They are motivated by the desire to accomplish their personal goals|Achieving milestones gives them a sense of success
Personal Development and Achievement,"Motivations driven by the desire to improve oneself, achieve goals, and attain a sense of mastery.",Self-Improvement and Learning,"Motivations centered on gaining knowledge, skills, or personal growth.",Acquire new knowledge,Desire to learn new information or skills.,They are motivated by the desire to learn new things.,Learning new information motivates them|They seek to expand their knowledge base
Social Connection and Recognition,"Motivations driven by interactions with others, social approval, and belonging.",Social Approval and Validation,"Motivations seeking recognition, approval, or validation from others.",Seek approval from peers,Desire to gain approval or validation from friends or colleagues.,They want to be approved by their peers.,Approval from peers motivates their actions|They value validation from their social circle
Social Connection and Recognition,"Motivations driven by interactions with others, social approval, and belonging.",Relationship Building,"Motivations to develop, maintain, or strengthen personal relationships.",Build meaningful relationships,Drive to create deep and authentic personal bonds.,They are motivated to develop meaningful relationships.,Building authentic relationships motivates their actions|They value deep personal connections
"Health, Safety, and Well-Being","Motivations focused on maintaining physical health, safety, and overall well-being.",Physical Health and Fitness,Motivations related to maintaining or improving physical health and fitness.,Stay healthy,Desire to maintain good health and avoid illness.,They want to stay healthy and prevent sickness.,Maintaining health motivates their actions|They prioritize staying free from illness
"Health, Safety, and Well-Being","Motivations focused on maintaining physical health, safety, and overall well-being.",Mental and Emotional Well-Being,Motivations related to maintaining mental health and emotional stability.,Reduce stress,Desire to lower stress levels and achieve emotional calm.,They want to reduce stress and feel more relaxed.,Lowering stress motivates their actions|They seek emotional calmness
Desire for Social Acceptance and Connection,"Motivations driven by the need to be accepted, loved, or connected with others to fulfill social and emotional needs.",Seeking Approval and Recognition,"Motivations focused on gaining approval, recognition, or validation from others to boost self-esteem.",Wanting to be appreciated,Desire to receive appreciation from others for one's efforts or qualities.,They want to be appreciated and recognized for their contributions.,They seek recognition and validation from others|They desire acknowledgment for their efforts|They want to feel valued by their peers
Desire for Social Acceptance and Connection,"Motivations driven by the need to be accepted, loved, or connected with others to fulfill social and emotional needs.",Building and Maintaining Relationships,"Motivations centered around forming, nurturing, and sustaining personal connections with others.",Desire for intimacy,"A wish to form close, personal bonds with others.",They seek to establish deep and intimate relationships.,They want to build close bonds|They desire intimacy and personal connection|They seek meaningful relationships
