Category,Theme,Motivation,Category Description,Motivation Description,Evidence Snippets,Subtheme Description
"Health, Safety, and Well-Being",Physical Health,They want to stay healthy and prevent sickness.,"Motivations focused on maintaining physical health, safety, and overall well-being.",Desire to maintain good health and avoid illness.,Maintaining health motivates their actions|They prioritize staying free from illness,Motivations related to maintaining or improving physical health and fitness.
"Health, Safety, and Well-Being",Contributing to Society or a Cause,He wants to make a meaningful difference through his actions.,"Motivations centered around finding purpose, meaning, or contributing to something larger than oneself.",Driven to create positive change in the community or world.,He seeks to impact society positively | Aims to contribute to the community | Motivated to foster social change | Desires to help others,Motivated by the desire to make a positive difference in society or support causes.
Material and Hedonic Rewards,Material Possessions,They want to own status symbols to reflect their success.,"Motivations focused on obtaining tangible rewards, material possessions, and financial gains.",Desire to possess items that symbolize success or social standing.,They seek to own items that showcase their success.|They believe possessions can elevate their status.,Motivations to acquire tangible goods and possessions as symbols of success or personal taste.
Material and Hedonic Rewards,Skill Acquisition and Mastery,They want to buy new clothing.,"Motivations driven by acquiring, using, or enjoying tangible products and possessions.",The desire to purchase new apparel or accessories.,They want to buy new clothing.,Motivations focused on purchasing or obtaining products.
Material and Hedonic Rewards,Sensory and Aesthetic Satisfaction,They are motivated by visually appealing and well-designed products.,"Motivations driven by the pursuit of pleasurable, enjoyable, or emotionally satisfying experiences.",Motivated by attractive visuals and aesthetic design.,They are motivated by visually appealing and well-designed products.|Aesthetic design influences their choices.,"Motivations focused on visual, tactile, or aesthetic pleasure derived from products or experiences."
Material and Lifestyle Fulfillment,Practical Utility and Convenience,They choose outfits that make them feel more confident.,"Motivations driven by the pursuit of emotional satisfaction, confidence, or psychological well-being through appearance or behavior.",Wearing clothing or adopting styles that increase self-confidence.,Boosting confidence through fashion | Wearing clothes that empower | Enhancing self-esteem via style,Using appearance or behavior to boost self-confidence and feel empowered.
Material and Lifestyle Fulfillment,Goal-Oriented Motivation,They aim to present an authentic version of themselves through their style.,"Motivations driven by the pursuit of emotional satisfaction, confidence, or psychological well-being through appearance or behavior.",Expressing authentic self through appearance to reinforce personal identity.,Authentic self-expression | Conveying true identity | Staying true to personal values,"Motivations to reinforce or affirm personal identity, values, or life choices."
Material and Lifestyle Fulfillment,Performance Enhancement,They aim to make their home more comfortable.,"Motivations driven by the desire to secure or enhance physical possessions, comfort, and lifestyle quality.",Desire to create a comfortable and pleasant living environment.,Wants a cozy home | Seeks to improve living space | Desires a pleasant environment | Aims for home comfort,"Motivations centered on improving living conditions, comfort, and lifestyle quality."
Personal Identity and Self-Expression,Self-Representation in Social Contexts,They want to express their authentic self.,"Motivations rooted in personal values, cultural beliefs, and self-identity.",Desire to express one's true self openly.,They want to express their true self|Seeking authenticity|Motivated to be genuine,"Motivations related to personal identity, authenticity, and self-expression."
Personal Identity and Self-Expression,Skill Development and Learning,He wants to lose weight to stay healthier.,"Motivations driven by the desire to enhance personal skills, attain goals, or improve oneself.",Desire to improve physical health or fitness.,He wants to lose weight to stay healthier.|She is motivated to exercise regularly to improve her stamina.,"Motivations related to improving oneself intellectually, emotionally, or physically."
Personal Identity and Self-Expression,Skill Development and Learning,They want to upgrade their living space to make it more comfortable.,Motivations centered on acquiring material possessions or lifestyle improvements to enhance quality of life.,Drive to improve home environment for comfort and aesthetics.,Renovating their home improves comfort | They seek a more attractive living environment | Upgrading appliances enhances their lifestyle | They enjoy modern and stylish interiors,Motivations to enhance living conditions and personal environment to increase comfort and satisfaction.
Personal Identity and Self-Expression,Financial Security,They want to save money to secure their financial future.,Motivations centered on acquiring material possessions or lifestyle improvements to enhance quality of life.,Desire to build savings to ensure financial security.,Saving helps them feel secure | They prioritize building an emergency fund | Planning for retirement motivates them | They aim to reduce financial stress,Motivations driven by the desire to achieve financial stability and increase wealth.
Personal Identity and Self-Expression,Skill Acquisition and Mastery,The individual wants to learn a new language to improve their communication skills and open up new opportunities.,"Motivations driven by the desire to improve oneself, achieve personal goals, and develop skills or habits.",Desire to acquire proficiency in a foreign language to enhance communication skills.,They want to speak fluently in another language | Improving language skills is a personal goal | Learning a language will help in their career | They enjoy the challenge of mastering new vocabulary,Motivations focused on learning new skills or improving existing ones to gain competence and confidence.
Personal Identity and Self-Expression,Cultural and Moral Values,They want to uphold cultural norms and traditions.,"Motivations rooted in personal values, cultural beliefs, and self-identity.",Desire to adhere to cultural traditions and expectations.,They want to uphold cultural norms|Motivated to follow traditions|Seeking cultural acceptance,"Motivations driven by cultural norms, morals, or religious beliefs."
Personal Identity and Self-Expression,Fashion and Appearance,They want to express their unique style to stand out from others.,"Motivations driven by the desire to express one’s identity, personality, or individuality through behavior, appearance, or choices.",Motivated by the desire to showcase a unique personal style and stand out.,They want to express their unique style to stand out from others.|Using fashion as a way to showcase individuality.,Motivations related to showcasing personal style or aesthetic preferences through clothing and grooming.
Personal Identity and Self-Expression,Fashion and Appearance,They want to enhance their coding abilities to become more proficient.,"Motivations driven by the desire to improve oneself, achieve personal goals, and enhance individual capabilities.",Motivated by the desire to become better at coding and programming.,They want to improve their programming skills to code better | Desire to learn new programming languages | Aiming to master coding techniques | Striving to become a better coder,"Motivations focused on enhancing specific skills, mastering tasks, or improving performance in particular areas."
Personal Identity and Self-Expression,Skill Development and Learning,They want to keep learning and expanding their knowledge.,"Motivations driven by the desire to enhance oneself, achieve personal growth, or attain a sense of accomplishment.",Motivated by the desire to learn new things continuously.,They want to keep learning and expanding their knowledge.|Motivated by curiosity and self-development.,"Motivations focused on acquiring new knowledge, skills, or personal development."
Personal Identity and Self-Expression,Sensory and Aesthetic Satisfaction,They want to showcase their unique style through their clothing choices.,"Motivations driven by the desire to express individual identity, personal values, and uniqueness through behavior or choices.",The desire to express personal style through clothing choices.,Expressing personal style through clothing | Showcasing individuality via fashion | Using fashion to reflect personality,"Motivations related to showcasing personal style, fashion, or aesthetic preferences to reflect individuality."
Personal Identity and Self-Expression,Cultural and Moral Values,They want to communicate their political or social beliefs through their appearance.,"Motivations driven by the desire to express individual identity, personal values, and uniqueness through behavior or choices.",Using clothing or appearance to express political or social beliefs.,Expressing political beliefs through fashion | Using style to make social statements | Communicating values via appearance,"Motivations to communicate core values, beliefs, or social messages through appearance or behavior."
Personal Identity and Self-Expression,Mental and Emotional Well-being,They aim to maintain emotional stability and balance.,"Motivations focused on maintaining, enhancing, or seeking comfort, safety, and personal health.",Seeking emotional balance and stability.,Emotional balance is essential|They seek psychological stability|Maintaining emotional health motivates them,"Motivations centered on emotional stability, mental health, and psychological comfort."
Personal Identity and Self-Expression,Cultural and Moral Values,They want to live comfortably.,"Motivations driven by the desire to attain material possessions, comfort, and a certain lifestyle.",Desire to enjoy a comfortable living environment.,They want to live comfortably.|Seeking a comfortable lifestyle.,"Motivations related to obtaining comfort, luxury, and a desirable lifestyle."
Personal Identity and Self-Expression,Personal Milestones,He wants to run a marathon to prove his endurance.,"Motivations driven by the desire to develop oneself, acquire new skills, or achieve personal milestones.",The goal to complete a marathon as a personal achievement.,He wants to run a marathon to prove his endurance.|Completing a marathon is a significant personal milestone.,Motivations centered around achieving specific personal goals or milestones.
Personal Identity and Self-Expression,Fashion and Appearance,They want to prove they are capable and competent.,"Motivations driven by the desire to enhance oneself, achieve goals, or demonstrate personal competence.",Desire to demonstrate competence and skill to others.,They want to prove they are capable and competent.|They seek to showcase their skills and abilities.,"Motivations focused on demonstrating skill, mastery, or outperforming others."
Personal Identity and Self-Expression,Authenticity and Self-Expression,They want to engage in activities that promote their self-care.,"Motivations centered on improving mental health, emotional comfort, and psychological resilience.",Motivation to engage in activities that promote self-care.,They want to engage in activities that promote their self-care.|Prioritizing personal well-being.,Motivations centered on caring for oneself and expressing emotions healthily.
Personal Identity and Self-Expression,Self-Representation in Social Contexts,They want to be popular among their peers to gain social approval.,"Motivations rooted in building relationships, gaining social acceptance, or achieving recognition from others.",The wish to be liked and admired by peers.,They seek to be admired by others|Motivated by the desire to be liked|Looking to gain social approval|Aspiring to be seen as popular,"Motivations centered on being accepted, liked, or valued by others."
Personal Identity and Self-Expression,Performance Enhancement,They aim to perform at their best and gain recognition for their accomplishments.,"Motivations driven by the pursuit of personal growth, achievement, and self-improvement.",Seeking to perform at the highest level and be recognized for achievements.,They want to excel in their activities | They seek recognition for their achievements | They are motivated by the desire to be the best | They aim to achieve personal success,"Motivations centered on reaching goals, excelling, and gaining recognition."
Personal Identity and Self-Expression,Building Relationships,They want to build meaningful connections with others.,"Motivations driven by the need for social interaction, belonging, approval, and recognition from others.",Motivated by the desire to connect with others and develop relationships.,They seek to meet new people and form relationships. | Their goal is to develop strong social bonds.,"Motivations centered on creating, maintaining, or strengthening personal relationships."
Personal Identity and Self-Expression,Performance Enhancement,They want to build their self-confidence and feel more assured.,"Motivations driven by the desire to grow personally, achieve goals, and improve oneself.",The desire to increase self-esteem and confidence in one's abilities.,They want to build their self-confidence and feel more assured.,"Motivations focused on boosting self-esteem, confidence, and personal image."
Personal Identity and Self-Expression,Material Rewards and Incentives,They want to express their personal style through their choices.,"Motivations driven by the pursuit of personal happiness, pleasure, and internal satisfaction.",Motivated by the desire to showcase personal style and uniqueness.,They want to express their personal style through their choices.|Showing individuality.|Using fashion or behavior to stand out.,Motivations centered on expressing individuality and personal values.
Personal Identity and Self-Expression,Skill Acquisition and Mastery,The individual wants to learn new skills to improve their personal abilities.,"Motivations driven by the desire to enhance oneself, achieve personal growth, or reach a sense of accomplishment.",Motivated by the wish to learn new skills or improve existing ones.,They are eager to acquire new skills | Improving personal abilities is a priority | They seek to master new competencies | Focused on skill development for personal growth,"Motivations focused on attaining skills, success, or mastery in specific areas."
Personal Identity and Self-Expression,Skill Development and Learning,They seek to learn new skills and expand their knowledge base.,"Motivations driven by the desire to improve oneself, achieve personal goals, or realize individual potential.",Motivated by the desire to acquire new knowledge or skills.,They want to learn new skills|Seeking educational opportunities|Motivated to expand their knowledge,"Motivations related to personal growth, learning new things, and self-improvement."
Personal Identity and Self-Expression,Performance Enhancement,The individual aims to climb the professional ladder and gain recognition for their work.,"Motivations driven by the desire to improve oneself, achieve personal goals, or realize individual potential.",Motivated by the desire to progress professionally and gain recognition in one's field.,They want to get promoted at work|Seeking recognition for their achievements|Motivated to excel in their career,"Motivations centered around accomplishing goals, gaining recognition, or reaching milestones."
Personal Identity and Self-Expression,Authenticity and Self-Expression,They aim to express their emotions and ideas through creative activities.,"Motivations driven by the desire for personal growth, self-expression, and achieving individual identity.",Desire to communicate feelings and ideas through art or creativity.,Using art to convey feelings is important|They want to showcase their creativity|Expressing emotions through art motivates them|They seek outlets for their artistic talents,Motivations related to expressing oneself through creative or artistic outlets.
Personal Identity and Self-Expression,Skill Acquisition and Mastery,The individual seeks to accomplish personal goals and demonstrate their abilities.,"Motivations driven by the desire for personal growth, self-expression, and achieving individual identity.",A desire to accomplish goals and demonstrate competence.,They want to succeed and prove their competence|They aim to reach their full potential|Striving for personal achievement motivates them|They are driven by a desire to accomplish goals,Motivations aimed at realizing personal potential and self-improvement.
Personal Identity and Self-Expression,Authenticity and Self-Expression,They seek activities that boost their self-esteem.,"Motivations driven by core personal beliefs, morals, and identity-related factors.",Motivated by the desire to feel better about oneself.,They seek activities that boost their self-esteem.|Feeling more confident and valued.,Motivations related to how individuals see themselves and want to be perceived.
Personal Identity and Self-Expression,Authenticity and Self-Expression,They want to stay true to themselves in their actions.,"Motivations driven by core personal beliefs, morals, and identity-related factors.",Motivated by the desire to remain authentic and true to one's identity.,They want to stay true to themselves in their actions.|Being authentic is important to them.,Motivations related to expressing true self and staying authentic.
Personal Identity and Self-Expression,Fashion and Appearance,They seek approval from friends and colleagues.,"Motivations driven by the desire for social belonging, recognition, or positive interactions with others.",Motivated by the need for approval from peers and social circles.,They want others to approve of their actions|Seeking validation from peers|Motivated by social acceptance,"Motivations centered around gaining approval, validation, or positive feedback from others."
Personal Identity and Self-Expression,Self-Representation in Social Contexts,They seek companionship to feel less lonely.,"Motivations related to forming, maintaining, or enhancing social bonds, gaining approval, or being recognized by others.",Motivated by the desire to find companionship and avoid loneliness.,They seek companionship to feel less lonely.|Looking for social interactions to connect with others.,Motivations centered on creating and strengthening personal relationships.
Personal Identity and Self-Expression,Skill Development and Learning,They want to learn new things and expand their knowledge to improve themselves.,"Motivations driven by the pursuit of enhancing oneself, acquiring new skills, or achieving personal development goals.",Motivated by the desire to learn new information or skills.,They want to learn new things and expand their knowledge to improve themselves.,"Motivations focused on gaining knowledge, learning new skills, or improving existing competencies."
Personal Identity and Self-Expression,Recognition and Status,They aim to attain a higher social position.,"Motivations driven by the desire for social interaction, acceptance, and recognition from others.",Motivated to attain a higher social standing.,They aim to attain a higher social position.|Desire for social dominance.,"Motivations driven by the desire to attain social status, prestige, or admiration."
Personal Identity and Self-Expression,Skill Acquisition and Mastery,They aim to succeed in their endeavors.,"Motivations related to enhancing oneself, acquiring new skills, and achieving personal development goals.",Motivated to attain personal or professional success.,They aim to succeed in their endeavors.|Pursuing success in career and life.,Motivations centered around setting and achieving personal ambitions and long-term goals.
Personal Identity and Self-Expression,Performance Enhancement,The person wants to perform better at work to stand out and achieve professional success.,"Motivations driven by the desire to improve oneself, achieve goals, or demonstrate competence.",Motivated by the wish to perform better professionally and stand out in the workplace.,They aim to improve their work performance to gain recognition | striving to outperform colleagues | seeking to excel in their career | motivated by the desire to be the best at their job,"Motivations aimed at improving skills, productivity, or performance levels."
Personal Identity and Self-Expression,Fashion and Appearance,They want to enhance their personal appearance.,"Motivations driven by the desire to enhance personal health, mental state, or overall life satisfaction.",The desire to look more attractive or stylish.,They want to enhance their personal appearance.,Motivations related to improving physical appearance and personal attractiveness.
Personal Identity and Self-Expression,Self-Representation in Social Contexts,They aim to project a specific image to influence how others perceive them.,"Motivations driven by the desire to express one’s identity, personality, or individuality through behavior, appearance, or choices.","Motivated by the desire to project a specific image to others, influencing how they are perceived.",They aim to project a specific image to influence how others perceive them.|Using appearance to shape perceptions.,Motivations focused on presenting oneself to others in a way that aligns with personal or group identity.
Personal Identity and Self-Expression,Skill Acquisition and Mastery,They want to express who they are and showcase their personality.,"Motivations driven by the pursuit of enhancing oneself, acquiring new skills, or achieving personal development goals.",Motivated by the desire to showcase or affirm one's identity or personality.,They want to express who they are and showcase their personality.,"Motivations centered around realizing one’s potential, expressing identity, or fulfilling personal values."
Personal Identity and Self-Expression,Altruism and Helping Others,They aim to support and help others in their community.,"Motivations driven by the desire for social belonging, recognition, or positive interactions with others.",Motivated by the desire to support and assist others in need.,They want to support those in need|Motivated to help friends and family|Seeking to contribute positively to others' lives,"Motivations driven by the desire to assist, support, or improve the well-being of others."
Personal Identity and Self-Expression,Cultural and Moral Values,They are motivated to celebrate and maintain their cultural traditions.,"Motivations rooted in personal values, cultural identity, and moral principles.",Desire to uphold and express cultural identity.,They want to preserve cultural heritage|Motivated by cultural pride|Seeking to express cultural identity|Desiring cultural recognition,"Motivations driven by cultural identity, moral principles, and personal ethics."
Personal Identity and Self-Expression,Skill Acquisition and Mastery,They are motivated by the desire to find their life's purpose.,"Motivations driven by the desire to achieve personal growth, mastery, and self-actualization.",Seeking a meaningful direction or reason for their actions.,They are motivated by the desire to find their life's purpose.|Searching for meaningful direction.,Motivations centered on realizing one's full potential and authentic self.
Personal Identity and Self-Expression,Fashion and Appearance,They want to prove their skills and be recognized for their abilities.,"Motivations driven by the desire to enhance oneself, achieve goals, and demonstrate competence.",Motivations to showcase one's abilities to gain acknowledgment from others.,They want to prove their skills and be recognized for their abilities.,"Motivations focused on demonstrating skills, achieving high standards, and gaining recognition for personal abilities."
Personal Identity and Self-Expression,Performance Enhancement,They aim to win competitions and outperform others.,"Motivations related to personal growth, mastery, achievement, and self-fulfillment.",Desire to succeed and win in competitive scenarios.,They want to win and succeed in competitions|They strive to outperform others|They aim for victory,"Motivations centered on accomplishing tasks, winning, and achieving success."
Personal Identity and Self-Expression,Approval and Acceptance,They seek approval to feel validated.,"Motivations rooted in forming bonds, gaining approval, or being recognized by others to satisfy social needs.",Motivated to gain approval from others to feel validated.,They desire validation from peers | Want approval from authority figures | Seek positive feedback | Aim to be accepted by their community,"Motivations driven by the desire to gain approval, acceptance, or positive judgment from others."
Personal Identity and Self-Expression,Performance Enhancement,They are motivated to improve themselves and develop better habits.,"Motivations driven by the desire to enhance oneself, achieve personal growth, or attain a sense of accomplishment.","Aiming to better oneself through education, habits, or behavior change.",Self-improvement efforts lead to increased confidence.|They are driven by a desire to become better.,"Motivations centered on improving oneself, gaining confidence, or achieving personal excellence."
Personal Identity and Self-Expression,Innovation and Creativity,He is motivated to create new art pieces and compositions.,"Motivations driven by curiosity, adventure, or the desire for new experiences and discoveries.",The desire to produce artistic or musical works.,Motivated to create art and music | Expresses creativity through creation,"Motivations focused on creating, inventing, or exploring new ideas and concepts."
Personal Identity and Self-Expression,Building Relationships,They are motivated to develop meaningful relationships.,"Motivations driven by interactions with others, social approval, and belonging.",Drive to create deep and authentic personal bonds.,Building authentic relationships motivates their actions|They value deep personal connections,"Motivations to develop, maintain, or strengthen personal relationships."
Personal Identity and Self-Expression,Innovation and Creativity,They seek to satisfy their curiosity by exploring new ideas.,"Motivations driven by the desire to enhance oneself, achieve personal growth, or reach a sense of accomplishment.",Motivated by the desire to learn new information or explore new ideas.,They are eager to explore new ideas | Curious about new information | Motivated by the desire to learn | Interested in discovering new concepts,"Motivations driven by the desire to learn, explore, or satisfy curiosity."
Personal Identity and Self-Expression,Goal Achievement and Success,He is motivated to travel to new countries.,"Motivations driven by curiosity, adventure, or the desire for new experiences and discoveries.",The desire to visit new locations and experience different cultures.,Motivated by the desire to explore new places | Seeks international travel experiences,Motivations centered on exploring new places and engaging in adventurous activities.
Personal Identity and Self-Expression,Self-Representation in Social Contexts,They strive to gain social status.,"Motivations driven by the desire for social interaction, acceptance, and external validation.",Aiming to elevate social standing or prestige.,Seeking social status | Desire for prestige | Aspiring to elevate social standing,"Motivations centered on gaining status, prestige, or social superiority."
Personal Identity and Self-Expression,Recognition and Status,They seek praise to feel valued and appreciated.,"Motivations driven by the desire for social interaction, belonging, and external validation.",Desire for praise and recognition from others.,Motivated by the need for praise and acknowledgment.|Seeking validation through recognition.,"Motivations centered on gaining acknowledgment, praise, or status from others."
Personal Identity and Self-Expression,Mental and Emotional Well-being,He wants to stay healthy and avoid illness.,"Motivations driven by the desire to enhance oneself, acquire new skills, or achieve personal growth.",The desire to stay healthy or improve health conditions.,Motivated by the desire to maintain good health | Aims to prevent illness and stay fit,Motivations centered on maintaining or improving mental and physical health.
Personal Identity and Self-Expression,Recognition and Status,They want to live authentically.,Motivations related to expressing oneself and affirming personal identity.,The desire to be genuine and true to oneself.,They want to live authentically.|Being true to oneself fosters fulfillment.,Motivations centered on being true to oneself and expressing core values.
